Postcode	age18_24	age25_34	age35_54	age_55	genderMale	employed	selfEmployed	student	eduLower	eduMid	eduUni	license	commuteBike	commutePT	commuteNS	distWork	usedUber	hhSize	hhChild	nbrCarHH	incLevel_30k	incLevel30_60k	incLevel60k	csMember	choice
1034	0	0	0	1	1	1	0	0	0	1	0	1	0	1	1	4	0	2	0	2	0	1	0	0	3
2547	0	0	1	0	1	1	0	0	1	0	0	1	0	0	0	4	0	4	1	2	0	1	0	0	0
1066	0	0	1	0	1	1	0	0	0	1	0	1	1	0	0	2	0	3	1	2	0	0	1	0	3
2563	0	0	1	0	1	1	0	0	0	0	1	1	0	0	0	5	0	2	0	3	0	0	1	0	0
2545	0	0	1	0	0	1	0	0	0	1	0	1	1	0	0	3	0	3	1	3	0	1	0	0	4
3075	0	0	0	1	1	1	0	0	1	0	0	1	0	0	0	3	1	2	0	2	0	1	0	0	0
2514	1	0	0	0	0	0	0	1	0	1	0	0	1	0	1	5	0	4	0	2	0	0	0	1	2
3021	1	0	0	0	1	1	0	0	0	0	1	1	0	0	0	5	0	1	0	1	1	0	0	0	4
3086	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	3	0	3	1	2	1	0	0	0	1
1015	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	6	0	6	1	3	0	0	1	1	2
3059	1	0	0	0	0	0	0	1	0	0	1	1	1	1	0	5	0	4	0	4	0	1	0	0	1
3079	0	0	1	0	1	1	0	0	0	1	0	1	1	0	0	5	0	2	0	2	0	1	0	0	0
3532	1	0	0	0	0	0	0	1	0	0	1	0	1	1	1	6	0	1	0	1	1	0	0	0	1
3561	0	0	0	1	1	1	0	0	1	0	0	1	1	0	0	3	0	3	1	2	0	1	0	0	0
1053	0	0	1	0	1	1	0	0	0	1	0	0	0	1	1	3	0	0	0	0	0	0	0	0	1
2521	1	0	0	0	0	0	0	1	0	1	0	1	0	1	1	5	0	6	4	4	0	0	1	0	2
3522	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	3	0	1	0	1	1	0	0	0	3
3071	0	1	0	0	1	1	0	0	1	0	0	1	0	0	0	7	0	4	2	2	0	1	0	0	0
2512	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	5	0	1	0	2	0	1	0	0	0
2525	0	0	1	0	1	1	0	0	1	0	0	1	0	1	0	3	1	2	0	2	1	0	0	0	3
1018	0	1	0	0	0	1	0	0	0	0	1	1	1	1	1	5	0	3	0	2	1	0	0	0	1
3035	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	5	0	3	0	2	1	0	0	0	0
3511	0	1	0	0	1	1	0	0	0	1	0	1	1	0	0	2	0	3	3	2	0	0	0	1	1
2583	0	1	0	0	1	1	0	0	0	0	1	1	0	0	0	7	0	2	0	2	0	0	0	0	0
3555	0	1	0	0	0	1	0	0	0	0	1	1	0	0	1	5	0	2	0	2	0	1	0	0	1
1087	0	1	0	0	1	1	0	0	0	0	1	1	0	1	0	5	1	2	0	2	0	0	1	0	0
3075	0	0	0	1	0	1	0	0	0	0	1	1	0	1	0	4	0	1	0	1	0	1	0	0	1
